ParkName,partySize,RateType,BookingType,Equipment,
The Islands,4,Full,CampsitePermit,LT20ft,
Boylston,1,Full,CampsitePermit,ST,
Graves Island,3,Full,CampsitePermit,LT20ft,
Caribou Munroes,2,Full,CampsitePermit,ST,
Caribou Munroes,3,Full,CampsitePermit,ST,
Mira River,2,Full,CampsitePermit,ST,
Blomidon,2,Senior,CampsitePermit,LT30ft,
Mira River,4,Full,CampsitePermit,LT30ft,
Graves Island,2,Senior,CampsitePermit,LT30ft,
Mira River,2,Full,CampsitePermit,LT30ft,
Rissers Beach,4,Full,CampsitePermit,LT20ft,
Graves Island,2,Full,CampsitePermit,LT30ft,
Battery,2,Full,CampsitePermit,ST,
Smileys,5,Senior,CampsitePermit,LT30ft,
Graves Island,2,Full,CampsitePermit,LT20ft,
Thomas Raddall,2,Full,CampsitePermit,LT20ft,
Laurie,6,Full,CampsitePermit,ST,
Graves Island,4,Full,CampsitePermit,LT30ft,
Rissers Beach,2,Full,CampsitePermit,LT20ft,
Rissers Beach,2,Full,CampsitePermit,LT20ft,
Caribou Munroes,5,Full,CampsitePermit,ST,
Five Islands,2,Full,CampsitePermit,ST,
Five Islands,4,Full,CampsitePermit,LT20ft,
Cape Chignecto,4,Full,BackcountryPermit,Cabin,
Laurie,2,Full,CampsitePermit,LT20ft,
Graves Island,2,Full,CampsitePermit,LT40ft,
Dollar Lake,5,Full,CampsitePermit,LT20ft,
Graves Island,2,Full,CampsitePermit,Tents,
Dollar Lake,6,Full,CampsitePermit,ST,
Five Islands,2,Senior,CampsitePermit,ST,
Blomidon,4,Full,CampsitePermit,ST,
Laurie,2,Senior,CampsitePermit,LT30ft,
Amherst Shore,2,Full,CampsitePermit,LT30ft,
Caribou Munroes,1,Full,CampsitePermit,ST,
Caribou Munroes,2,Full,CampsitePermit,LT20ft,
Rissers Beach,2,Full,CampsitePermit,LT30ft,
Caribou Munroes,2,Full,CampsitePermit,LT30ft,
Battery,4,Full,CampsitePermit,ST,
Graves Island,2,Senior,CampsitePermit,LT30ft,
Rissers Beach,4,Full,CampsitePermit,LT30ft,
Rissers Beach,3,Full,CampsitePermit,ST,
Dollar Lake,4,Full,CampsitePermit,ST,
Graves Island,4,Full,CampsitePermit,Tents,
Blomidon,2,Full,CampsitePermit,ST,
Whycocomagh,5,Full,CampsitePermit,ST,
Graves Island,2,Full,CampsitePermit,LT40ft,
Smileys,4,Full,CampsitePermit,LT20ft,
Ellenwood Lake,4,Full,CampsitePermit,ST,
Ellenwood Lake,2,Senior,CampsitePermit,LT20ft,
Amherst Shore,2,Full,CampsitePermit,ST,
Graves Island,4,Senior,CampsitePermit,LT30ft,
Graves Island,2,Full,CampsitePermit,ST,
Rissers Beach,2,Full,CampsitePermit,LT30ft,
Mira River,2,Full,CampsitePermit,LT20ft,
Graves Island,2,Full,CampsitePermit,ST,
Amherst Shore,4,Full,CampsitePermit,ST,
Blomidon,2,Full,CampsitePermit,ST,
Cape Chignecto,2,Full,BackcountryPermit,ST,
Thomas Raddall,1,Full,CampsitePermit,ST,
Graves Island,4,Full,CampsitePermit,LT20ft,
Blomidon,4,Full,CampsitePermit,ST,
Battery,2,Full,CampsitePermit,ST,
Smileys,4,Full,CampsitePermit,LT30ft,
Five Islands,4,Full,CampsitePermit,Tents,
Rissers Beach,2,Senior,CampsitePermit,LT40ft,
Whycocomagh,2,Full,CampsitePermit,ST,
Battery,4,Full,CampsitePermit,LT30ft,
Graves Island,1,Full,CampsitePermit,ST,
Dollar Lake,2,Full,CampsitePermit,ST,
Five Islands,2,Full,CampsitePermit,ST,
Battery,2,Full,CampsitePermit,LT30ft,
Graves Island,1,Full,CampsitePermit,LT20ft,
Laurie,6,Full,CampsitePermit,Tents,
Blomidon,1,Senior,CampsitePermit,ST,
Rissers Beach,4,Full,CampsitePermit,LT30ft,
Valleyview,1,Full,CampsitePermit,ST,
Porters Lake,5,Full,CampsitePermit,LT20ft,
Ellenwood Lake,3,Full,CampsitePermit,Tents,
Cape Chignecto,2,Full,BackcountryPermit,ST,
Dollar Lake,5,Full,CampsitePermit,Tents,
Five Islands,5,Full,CampsitePermit,LT20ft,
Rissers Beach,5,Full,CampsitePermit,ST,
Amherst Shore,4,Senior,CampsitePermit,LT30ft,
Mira River,2,Full,CampsitePermit,LT20ft,
Amherst Shore,2,Senior,CampsitePermit,LT30ft,
Smileys,4,Full,CampsitePermit,Tents,
Ellenwood Lake,3,Senior,CampsitePermit,LT30ft,
Ellenwood Lake,5,Full,CampsitePermit,ST,
Five Islands,1,Senior,CampsitePermit,ST,
Mira River,2,Full,CampsitePermit,LT20ft,
Dollar Lake,2,Full,CampsitePermit,ST,
Laurie,6,Full,CampsitePermit,Tents,
Caribou Munroes,4,Full,CampsitePermit,LT20ft,
Porters Lake,4,Full,CampsitePermit,LT30ft,
Rissers Beach,1,Full,CampsitePermit,ST,
Porters Lake,2,Full,CampsitePermit,ST,
Mira River,2,Full,CampsitePermit,ST,
Rissers Beach,3,Full,CampsitePermit,ST,
Graves Island,4,Full,CampsitePermit,LT30ft,
Mira River,4,Full,CampsitePermit,LT30ft,
Five Islands,2,Full,CampsitePermit,ST,
Mira River,2,Senior,CampsitePermit,ST,
Graves Island,1,Full,CampsitePermit,ST,
Whycocomagh,2,Full,CampsitePermit,ST,
Amherst Shore,2,Full,CampsitePermit,ST,
Mira River,2,Senior,CampsitePermit,ST,
Cape Chignecto,2,Full,BackcountryPermit,ST,
Whycocomagh,2,Full,CampsitePermit,LT20ft,
Smileys,6,Full,CampsitePermit,LT20ft,
Caribou Munroes,4,Full,CampsitePermit,ST,
Dollar Lake,2,Veteran,CampsitePermit,LT30ft,
The Islands,3,Full,CampsitePermit,LT30ft,
Caribou Munroes,2,Senior,CampsitePermit,ST,
Caribou Munroes,2,Full,CampsitePermit,ST,
Dollar Lake,5,Full,CampsitePermit,LT20ft,
Rissers Beach,2,Full,CampsitePermit,LT30ft,
Thomas Raddall,4,Full,CampsitePermit,Tents,
Whycocomagh,2,Full,CampsitePermit,LT30ft,
Five Islands,4,Full,CampsitePermit,Tents,
Dollar Lake,5,Full,CampsitePermit,ST,
Porters Lake,2,Senior,CampsitePermit,LT40ft,
Rissers Beach,2,Full,CampsitePermit,LT30ft,
Rissers Beach,2,Full,CampsitePermit,ST,
Mira River,2,Full,CampsitePermit,ST,
Smileys,4,Senior,CampsitePermit,LT30ft,
Graves Island,2,Full,CampsitePermit,LT40ft,
Battery,3,Full,CampsitePermit,ST,
Battery,3,Full,CampsitePermit,ST,
Caribou Munroes,2,Full,CampsitePermit,ST,
Battery,4,Full,CampsitePermit,ST,
Five Islands,3,Full,CampsitePermit,ST,
Thomas Raddall,4,Full,CampsitePermit,ST,
Smileys,4,Full,CampsitePermit,Tents,
Valleyview,4,Full,CampsitePermit,LT30ft,
Blomidon,2,Full,CampsitePermit,ST,
Smileys,4,Full,CampsitePermit,ST,
Amherst Shore,3,Full,CampsitePermit,LT20ft,
Porters Lake,5,Full,CampsitePermit,ST,
Rissers Beach,5,Veteran,CampsitePermit,ST,
Dollar Lake,6,Full,CampsitePermit,Tents,
Blomidon,3,Full,CampsitePermit,LT40ft,
Blomidon,4,Full,CampsitePermit,Tents,
Rissers Beach,2,Veteran,CampsitePermit,LT20ft,
Thomas Raddall,2,Full,CampsitePermit,ST,
Mira River,4,Full,CampsitePermit,LT30ft,
Whycocomagh,4,Full,CampsitePermit,Tents,
Five Islands,2,Full,CampsitePermit,ST,
The Islands,4,Full,CampsitePermit,Tents,
Ellenwood Lake,2,Full,CampsitePermit,ST,
Caribou Munroes,2,Senior,CampsitePermit,LT30ft,
Blomidon,2,Full,CampsitePermit,LT20ft,
Rissers Beach,1,Full,CampsitePermit,LT30ft,
Battery,2,Full,CampsitePermit,Tents,
Cape Chignecto,1,Full,BackcountryPermit,ST,
Graves Island,2,Full,CampsitePermit,LT20ft,
Valleyview,1,Senior,CampsitePermit,LT20ft,
Thomas Raddall,1,Full,CampsitePermit,ST,
Graves Island,2,Full,CampsitePermit,LT20ft,
Caribou Munroes,5,Full,CampsitePermit,LT30ft,
Laurie,2,Full,CampsitePermit,ST,
Thomas Raddall,1,Senior,CampsitePermit,LT20ft,
Graves Island,1,Full,CampsitePermit,LT20ft,
Porters Lake,3,Full,CampsitePermit,LT30ft,
Valleyview,3,Full,CampsitePermit,ST,
Porters Lake,6,Full,CampsitePermit,ST,
Thomas Raddall,5,Full,CampsitePermit,Tents,
Whycocomagh,2,Full,CampsitePermit,ST,
Whycocomagh,2,Full,CampsitePermit,LT40ft,
Caribou Munroes,5,Full,CampsitePermit,LT30ft,
Porters Lake,2,Full,CampsitePermit,ST,
Blomidon,5,Full,CampsitePermit,LT30ft,
Porters Lake,2,Full,CampsitePermit,ST,
Thomas Raddall,2,Full,CampsitePermit,LT20ft,
The Islands,2,Full,CampsitePermit,ST,
Graves Island,4,Full,CampsitePermit,ST,
Five Islands,2,Full,CampsitePermit,ST,
Five Islands,2,Full,CampsitePermit,ST,
Ellenwood Lake,2,Full,CampsitePermit,ST,
Graves Island,2,Full,CampsitePermit,LT30ft,
Five Islands,5,Full,CampsitePermit,Tents,
Thomas Raddall,3,Full,CampsitePermit,LT40ft,
Amherst Shore,2,Full,CampsitePermit,LT30ft,
Graves Island,6,Full,CampsitePermit,Tents,
Porters Lake,2,Full,CampsitePermit,ST,
Blomidon,2,Full,CampsitePermit,ST,
Mira River,3,Full,CampsitePermit,LT20ft,
Graves Island,4,Full,CampsitePermit,LT30ft,
The Islands,2,Senior,CampsitePermit,LT40ft,
Porters Lake,2,Full,CampsitePermit,ST,
Blomidon,6,Full,CampsitePermit,ST,
Five Islands,2,Full,CampsitePermit,ST,
Mira River,3,Full,CampsitePermit,ST,
Blomidon,6,Full,CampsitePermit,Tents,
The Islands,5,Full,CampsitePermit,LT20ft,
Rissers Beach,2,Senior,CampsitePermit,LT20ft,
Graves Island,2,Full,CampsitePermit,ST,
Caribou Munroes,1,Full,CampsitePermit,ST,
Rissers Beach,4,Full,CampsitePermit,ST,
Valleyview,1,Senior,CampsitePermit,ST,
Rissers Beach,4,Full,CampsitePermit,LT40ft,
Thomas Raddall,2,Full,CampsitePermit,ST,
Caribou Munroes,2,Senior,CampsitePermit,LT20ft,
Ellenwood Lake,5,Full,CampsitePermit,Tents,
Amherst Shore,2,Full,CampsitePermit,LT30ft,
Cape Chignecto,2,Full,BackcountryPermit,ST,
Rissers Beach,4,Full,CampsitePermit,LT20ft,
Porters Lake,4,Full,CampsitePermit,Tents,
Rissers Beach,4,Full,CampsitePermit,LT30ft,
Battery,4,Full,CampsitePermit,LT20ft,
Valleyview,2,Full,CampsitePermit,ST,
Graves Island,2,Senior,CampsitePermit,LT30ft,
Mira River,2,Full,CampsitePermit,LT20ft,
Rissers Beach,4,Full,CampsitePermit,LT20ft,
Thomas Raddall,2,Full,CampsitePermit,ST,
Mira River,4,Full,CampsitePermit,LT40ft,
Laurie,1,Full,CampsitePermit,ST,
Smileys,2,Full,CampsitePermit,LT20ft,
Thomas Raddall,4,Full,CampsitePermit,LT20ft,
Whycocomagh,4,Full,YurtPermit,Tents,
Porters Lake,2,Full,CampsitePermit,LT20ft,
Cape Chignecto,4,Full,BackcountryPermit,ST,
Five Islands,2,Full,CampsitePermit,ST,
Five Islands,5,Senior,CampsitePermit,ST,
Thomas Raddall,6,Full,CampsitePermit,Tents,
Rissers Beach,1,Full,CampsitePermit,LT30ft,
Mira River,2,Full,CampsitePermit,ST,
Smileys,1,Full,CampsitePermit,ST,
Boylston,1,Full,CampsitePermit,ST,
Amherst Shore,2,Senior,CampsitePermit,LT30ft,
Rissers Beach,4,FULL,CampsitePermit,LT30ft,
Thomas Raddall,1,Full,CampsitePermit,ST,
Mira River,3,Full,CampsitePermit,LT40ft,
Blomidon,4,Full,CampsitePermit,ST,
Five Islands,5,Full,CampsitePermit,Tents,
Five Islands,1,Senior,CampsitePermit,ST,
Five Islands,5,Full,CampsitePermit,ST,
Rissers Beach,2,Full,CampsitePermit,ST,
Thomas Raddall,2,Full,CampsitePermit,ST,
Rissers Beach,2,Veteran,CampsitePermit,ST,
Caribou Munroes,4,Full,CampsitePermit,Tents,
Smileys,2,Full,CampsitePermit,LT30ft,
Graves Island,2,Full,CampsitePermit,ST,
Dollar Lake,2,Full,CampsitePermit,ST,
Dollar Lake,5,Full,CampsitePermit,ST,
Caribou Munroes,2,Full,CampsitePermit,ST,
Battery,2,Senior,CampsitePermit,ST,
Graves Island,2,Full,CampsitePermit,LT30ft,
Thomas Raddall,2,Full,CampsitePermit,LT20ft,
Whycocomagh,3,Full,CampsitePermit,ST,
Mira River,3,Full,CampsitePermit,LT40ft,
Graves Island,4,Senior,CampsitePermit,Tents,
Caribou Munroes,4,Full,CampsitePermit,LT20ft,
Salsman,2,Senior,CampsitePermit,LT20ft,
Mira River,2,Full,CampsitePermit,ST,
Rissers Beach,4,Full,CampsitePermit,ST,
Mira River,2,Senior,CampsitePermit,ST,
Whycocomagh,2,Senior,CampsitePermit,ST,
Laurie,3,Full,CampsitePermit,ST,
Dollar Lake,6,Full,CampsitePermit,Tents,
Caribou Munroes,4,Full,CampsitePermit,ST,
Blomidon,2,Full,CampsitePermit,ST,
Mira River,6,Full,CampsitePermit,Tents,
Caribou Munroes,2,Full,CampsitePermit,LT30ft,
Smileys,2,Full,CampsitePermit,LT20ft,
Valleyview,1,Full,CampsitePermit,LT20ft,
Caribou Munroes,2,Full,CampsitePermit,LT30ft,
Graves Island,1,Full,CampsitePermit,ST,
Five Islands,2,Full,CampsitePermit,ST,
Blomidon,3,Full,CampsitePermit,LT20ft,
Rissers Beach,2,Full,CampsitePermit,ST,
Amherst Shore,2,Senior,CampsitePermit,LT20ft,
The Islands,2,Full,CampsitePermit,LT30ft,
Caribou Munroes,5,Full,CampsitePermit,LT20ft,
Dollar Lake,4,Full,CampsitePermit,Tents,
Thomas Raddall,2,Full,CampsitePermit,ST,
Caribou Munroes,3,Full,CampsitePermit,Tents,
Laurie,3,Full,CampsitePermit,LT30ft,
Mira River,3,Full,CampsitePermit,ST,
Graves Island,2,Full,CampsitePermit,LT30ft,
Blomidon,2,Full,CampsitePermit,ST,
Thomas Raddall,4,Full,CampsitePermit,ST,
Amherst Shore,2,Full,CampsitePermit,LT20ft,
Graves Island,1,Full,CampsitePermit,ST,
Thomas Raddall,2,Full,CampsitePermit,LT30ft,
Rissers Beach,4,Full,CampsitePermit,LT20ft,
Mira River,2,Senior,CampsitePermit,LT20ft,
Caribou Munroes,1,Full,CampsitePermit,ST,
Dollar Lake,3,Full,CampsitePermit,ST,
Graves Island,2,Full,CampsitePermit,LT20ft,
Graves Island,1,Full,CampsitePermit,LT30ft,
Five Islands,2,Full,CampsitePermit,LT20ft,
Rissers Beach,2,Full,CampsitePermit,LT30ft,
Blomidon,3,Full,CampsitePermit,LT20ft,
Graves Island,4,Full,CampsitePermit,Tents,
Caribou Munroes,2,Full,CampsitePermit,LT40ft,
Five Islands,2,Full,CampsitePermit,ST,
Mira River,2,Full,CampsitePermit,LT40ft,
Dollar Lake,6,Full,CampsitePermit,Tents,
Mira River,4,Full,CampsitePermit,ST,
Mira River,6,Full,CampsitePermit,ST,
Rissers Beach,2,Senior,CampsitePermit,LT20ft,
Whycocomagh,3,Full,CampsitePermit,ST,
Caribou Munroes,4,Full,CampsitePermit,LT30ft,
Five Islands,3,Full,CampsitePermit,ST,
Thomas Raddall,2,Full,CampsitePermit,ST,
Caribou Munroes,2,Full,CampsitePermit,LT30ft,
Amherst Shore,2,Senior,CampsitePermit,LT20ft,
Graves Island,1,Full,CampsitePermit,ST,
Smileys,2,Senior,CampsitePermit,LT30ft,
Rissers Beach,4,Full,CampsitePermit,LT40ft,
Porters Lake,2,Full,CampsitePermit,ST,
Caribou Munroes,3,Full,CampsitePermit,ST,
Mira River,2,Full,CampsitePermit,ST,
Rissers Beach,2,Full,CampsitePermit,Greater than 40ft,
Five Islands,2,Senior,CampsitePermit,ST,
Mira River,4,Full,CampsitePermit,ST,
Rissers Beach,2,Full,CampsitePermit,LT30ft,
Blomidon,2,Senior,CampsitePermit,LT30ft,
Graves Island,2,Senior,CampsitePermit,LT30ft,
Porters Lake,3,Full,CampsitePermit,LT20ft,
Mira River,2,Full,CampsitePermit,LT30ft,
Mira River,2,Full,CampsitePermit,LT30ft,
The Islands,5,Full,CampsitePermit,Tents,
Amherst Shore,2,Full,CampsitePermit,LT20ft,
Blomidon,2,Full,CampsitePermit,ST,
Caribou Munroes,2,Full,CampsitePermit,Tents,
Caribou Munroes,2,Senior,CampsitePermit,LT30ft,
Porters Lake,2,Full,CampsitePermit,ST,
Blomidon,2,Senior,CampsitePermit,ST,
Cape Chignecto,2,Full,BackcountryPermit,ST,
Caribou Munroes,2,Full,CampsitePermit,ST,
Smileys,2,Full,CampsitePermit,LT30ft,
Mira River,2,Full,CampsitePermit,LT20ft,
Graves Island,3,Full,CampsitePermit,LT20ft,
Caribou Munroes,2,Full,CampsitePermit,LT30ft,
Laurie,3,Full,CampsitePermit,ST,
Battery,2,Senior,CampsitePermit,LT40ft,
Laurie,4,Full,CampsitePermit,ST,
Porters Lake,2,Full,CampsitePermit,ST,
Five Islands,2,Full,CampsitePermit,ST,
Mira River,2,Full,CampsitePermit,ST,
Battery,2,Full,CampsitePermit,ST,
Thomas Raddall,2,Full,CampsitePermit,ST,
Caribou Munroes,2,Full,CampsitePermit,ST,
Blomidon,1,Full,CampsitePermit,ST,
Graves Island,2,Full,CampsitePermit,LT20ft,
Ellenwood Lake,2,Full,CampsitePermit,ST,
Dollar Lake,2,Senior,CampsitePermit,LT20ft,
Dollar Lake,4,Full,CampsitePermit,LT30ft,
Graves Island,2,Senior,CampsitePermit,LT30ft,
Five Islands,2,Full,CampsitePermit,ST,
Caribou Munroes,5,Full,CampsitePermit,LT30ft,
Caribou Munroes,1,Senior,CampsitePermit,LT20ft,
Graves Island,2,Full,CampsitePermit,LT30ft,
Laurie,2,Senior,CampsitePermit,LT20ft,
Rissers Beach,4,Full,CampsitePermit,LT20ft,
Five Islands,2,Full,CampsitePermit,ST,
Graves Island,2,Senior,CampsitePermit,LT30ft,
Rissers Beach,6,Full,CampsitePermit,Tents,
Mira River,2,Full,CampsitePermit,ST,
Dollar Lake,3,Full,CampsitePermit,ST,
Porters Lake,3,Full,CampsitePermit,Tents,
Battery,1,Full,CampsitePermit,ST,
Mira River,2,Full,CampsitePermit,ST,
Thomas Raddall,5,Full,CampsitePermit,Tents,
Caribou Munroes,2,Senior,CampsitePermit,LT30ft,
Rissers Beach,2,Senior,CampsitePermit,LT30ft,
Rissers Beach,4,Full,CampsitePermit,Tents,
Graves Island,2,Senior,CampsitePermit,LT20ft,
Battery,2,Full,CampsitePermit,ST,
